name,main_category,sub_category,ratings,no_of_ratings,discount_price,actual_price,discount_pct
SAHITYA SAROWAR Bhartiya Evm Paschatya Kavyashastra,stores,Amazon Fashion,3.9,9.0,208.0,300.0,30.67
Vibez by Lifelong Ornate Smartwatch For Women with HD Display|Body Temprature |24x7 Heart Rate & SpO2 Tracking|8 Sports Mo...,stores,Amazon Fashion,3.9,95.0,2499.0,11999.0,79.17
"Lee Cooper Lightweight Cotton Face Mask for Outdoor Protection, Super Breathable & Resuable Cloth, 2 Count",stores,Amazon Fashion,3.5,3427.0,169.0,399.0,57.64
Pears Soft & Fresh Bathing Bar with 98% Pure Glycerine & Mint Extracts - For Fresh Glow (125g x 4),stores,Amazon Fashion,4.4,24747.0,285.0,285.0,0.0
"FACES CANADA Magneteyes Eyeliner - Black, 3.5ml | Intense Matte Finish | Quick Drying | 24HR Long Lasting | Fine Tip For P...",stores,Amazon Fashion,4.1,5936.0,209.0,249.0,16.06
Nakabh Stainless Steel Rice Chain for Men and Boys,stores,Amazon Fashion,4.1,3505.0,229.0,1999.0,88.54
"Storite Canvas Sling Cross Body Travel Office Business Messenger One Side Shoulder Bag for Men & Women (Grey, 33cm x 6.5cm...",stores,Amazon Fashion,4.0,2150.0,899.0,3999.0,77.52
"Minimalist Marula Oil 5% Face Moisturizer For Dry Skin With Hyaluronic Acid For Deep Nourishment & Hydration, For Men & Women",stores,Amazon Fashion,4.2,1212.0,284.0,299.0,5.02
Fastrack Analog Black Dial Unisex-Adult Watch-68012PP14,stores,Amazon Fashion,3.9,59.0,950.0,950.0,0.0
Safari RAY Polycarbonate 53 cms Midnight Blue Hardsided Cabin Luggage (RAY534WMBL),stores,Amazon Fashion,4.2,3762.0,2099.0,5999.0,65.01
"Noise ColorFit Ultra Buzz Bluetooth Calling Smart Watch with 1.75"" HD Display, 320x385 px Resolution, 100 Sports Modes, St...",stores,Amazon Fashion,4.1,9314.0,1999.0,5999.0,66.68
PS Fashionss Track Pant for Boys (PS014BP010),stores,Amazon Fashion,0.0,0.0,499.0,999.0,50.05
GIVA Pearl Earrings For Women,stores,Amazon Fashion,4.0,2549.0,569.0,1199.0,52.54
"Nivea Soft Light Moisturizer For Face, Hand & Body, Instant Hydration, Non-Greasy Cream With Vitamin E & Jojoba Oil, 300 Ml",stores,Amazon Fashion,4.4,38505.0,284.0,465.0,38.92
Bhautiki ka Satpath (Fritjof Capra The Tao of Physics): Adhunik Bhautiki aur Prachya Rahasyavad Ke Madhya Samantartao Ka A...,stores,Amazon Fashion,4.0,23.0,150.0,275.0,45.45
"Juteberry Jute/Juco Blue Tote Bags, Women Hand bag Eco Friendly, 100%Natural ,Spacious Bags, Beach Bags, Fashion & Shoppin...",stores,Amazon Fashion,3.8,166.0,369.0,1699.0,78.28
SF Venus Digital Grey Dial Men's Watch-NL7982PP04/NM7982PP04,stores,Amazon Fashion,4.1,8804.0,499.0,499.0,0.0
